gene_name,max(statistic),min(pValue),max(delta_af_abs)
PLA2G2C-UBXN10-AS1,3.5181402248508418,0.06070052443924456,0.02304
AK2,5.80275504610655,0.016001083413423767,0.03940800000000001
LPAR3-MCOLN2,12.666064567551903,3.7235245649291926E-4,0.07402299999999995
CDC7-TGFBR3,28.822626102164314,7.931905321445498E-8,0.09735300000000002
LINC01160,4.590525111197634,0.032149163261007696,0.04230500000000004
MMP19,14.750740665438842,1.226993171796753E-4,0.031403000000000014
KCCAT198-C12orf75,14.750740665438842,1.226993171796753E-4,0.051147
DDX55,14.750740665438842,1.226993171796753E-4,0.07097500000000001
LINC00354-LINC00403,29.158390883088884,6.669626650968041E-8,0.07865100000000003
GABRG3,27.86662981250862,1.2997214082766106E-7,0.112292
LOC339166,22.76500523643396,1.8306910356535866E-6,0.10677200000000009
DNAH9,19.6981521756177,9.068901432263132E-6,0.090968
IMPACT,5.984754830826602,0.014430048241337312,0.042936000000000085
ADGRL1-ADGRE5,14.750740665438842,1.226993171796753E-4,0.10251500000000002
ZNF675-ZNF681,9.857720146091754,0.001691205553977726,0.09246500000000002
HPN-AS1,6.78500266942506,0.009192689250488884,0.08577699999999999
SLC20A1-CKAP2L,14.750740665438842,1.226993171796753E-4,0.07100300000000004
TRIM59,14.750740665438842,1.226993171796753E-4,0.06422
LINC01014-KCNMB2-AS1,7.3901250851116975,0.00655829276657971,0.049651
LOC100130872,5.984754830826602,0.014430048241337312,0.037690999999999975
UNC5C,41.31975059278443,1.2925627235205184E-10,0.07766299999999998
ANKH-LOC101929454,14.750740665438842,1.226993171796753E-4,0.10025000000000006
OCLN,6.302878263996224,0.012054209664672078,0.04308799999999999
LOC102467213-EFNA5,26.697118800080347,2.379761024906557E-7,0.09643299999999999
ALDH7A1,11.586679221363665,6.642592449117579E-4,0.08929299999999998
HIST1H4H-BTN3A2,14.750740665438842,1.226993171796753E-4,0.06689699999999998
HLA-C-HLA-B,11.586679221363665,6.642592449117579E-4,0.06678699999999999
GSTA3-GSTA4,14.750740665438842,1.226993171796753E-4,0.05576199999999998
FAM46A-LINC01526,13.588612590398299,2.2756175599780715E-4,0.12121700000000002
NDUFAF4,4.277622123214089,0.038617337361321225,0.03126499999999999
ATG5-AIM1,14.750740665438842,1.226993171796753E-4,0.08548900000000004
PPP1R14C-IYD,20.7502012949364,5.232607854455118E-6,0.07250000000000001
ADCYAP1R1,8.837501972211154,0.002951027922456828,0.056831999999999994
CDHR3,14.809684331824005,1.1892322516637854E-4,0.07707199999999997
SDR16C6P-PENK,12.64998824293764,3.7556803931615423E-4,0.028766000000000014
SLC26A7-RUNX1T1,14.750740665438842,1.226993171796753E-4,0.07368000000000002
LOC102724804,8.889036133430762,0.002868881420476699,0.03948999999999997
DPYS,8.889036133430762,0.002868881420476699,0.05699800000000005
SPATA31C1-CDK20,5.984754830826602,0.014430048241337312,0.04082199999999997
