object_id	entrez_id
-1653720601	100303453
-1057415017	100310785
-590381040	100268168
-2028898587	100302739
-358886842	100270746
-1650363859	100240735
995	8290
-1389295167	8290
-2139224290	23429
-915368894	80321
-25546692	53405
-978804572	60678
-1634555457	10753
-1354880319	10400
-1603984089	81502
-1041565809	64084
-1780424136	2202
706	6606
-751706057	6606
-2099102630	6606
-386910462	55835
-1097132058	53
-260258000	23129
-716728085	56660
-1749150408	1911
-359245741	27098
1056	283297
-1155145501	283297
-373423908	56704
8000	9370
282	2774
-859293185	51209
-374124169	10548
-1657616629	881
-903380631	3635
1144	84258
-1072671403	84258
4190	29127
10002	54490
-1942529265	54490
-314202452	7371
-663138581	57541
2972	5187
287	54331
-57863249	54331
-737055834	54331
-898968177	54331
-1174054374	54331
-1796991577	54331
-1964868105	54331
-1944005913	7343
4341	1386
161	1386
35	1386
-678560892	1386
4552	212
-1664370610	140862
-2004248667	5473
-86496114	7169
-894541132	7169
7022	91
-470770709	53905
290	2554
-776684462	2554
-843613897	2554
-1438951395	2554
-1502330072	2554
-1576412377	2554
-1934463232	2554
-2067422473	2709
-1654352503	6419
-1706519424	1961
-450301939	3208
9233	57180
63	57180
-1839220375	57180
-1193209376	5211
-1267474505	4509
-1278673975	4509
-2020007960	4509
7036	3976
-709590130	53916
-801057959	53916
-1904597555	3692
-658171686	738
382	3606
-2125875445	55577
-158362766	58528
1263160162	2863
2827	2863
9084	262
149	1271
-1799429252	1271
9169	350
6362	9990
-1679893094	10352
-212768964	1939
-955916030	4735
-1774554968	26039
835	133
-609424096	22818
-418913186	22818
-1644532766	22818
-993359896	58487
-240466243	4250
-493606778	2713
-1786763215	81035
-97718319	1620
9310	1114
-1282116881	5420
-213154559	1178
-1230879571	29988
-1764498783	84818
-107090757	6595
-715308842	6595
664	5865
-1092889432	5865
-636888766	149934
-105589350	6229
-2055310337	6229
-976946466	5116
-1187501515	65005
-1914845502	65005
2934	4257
1056	390077
-428468055	390077
-1263982752	79400
1097	5663
-1207498717	5663
-1671372472	5663
6117	145258
-574914195	26548
-85273767	8336
994	8336
-893661769	8336
-1195462374	8336
-439537900	57016
-1423524479	57016
-887887653	22883
-705908451	64434
-148084204	50856
-1442014990	8100
-1868801748	8019
-1161400985	9452
-1849516524	4337
-1921051854	23499
1056	347468
-840455257	347468
4029	9330
-143419691	9330
-440772540	27115
-695041192	27115
-1631192561	2583
2405	5609
-1934802085	5609
123420463	26778
-1386092608	26778
-1115764889	11133
7000	2323
-863919154	56129
2750	3156
-311041923	10670
-105589350	6209
-1994404100	6209
2183	4303
-168978452	2046
2738	2046
-1198861020	3930
-89904424	7126
-983270555	7126
498	4312
-1819005865	60598
-1308071093	6004
1056	390265
-1873566603	390265
-1431617518	59307
-133132620	10226
-1795725843	10003
2277	2316
-1920655100	2316
-959666971	50832
-2109151758	50832
-921391918	1795
-955717590	11072
-1762587871	116540
-1914845502	116540
-1249302420	7036
995	3021
-1734815739	3021
-35530589	51506
-2076213884	8816
-1375881818	8391
8200	3752
215	1857
-1791222809	1857
-663865050	7154
-1987500044	7154
-2030511636	23120
952	1977
6167	4091
4140	6494
-705704910	57001
-1432585206	84536
-1496769943	23417
-1473487539	5481
-1391478402	56156
-569264842	57089
-1876055651	51426
-1186433553	100290481
5288	100293534
-330176020	100293534
-559812608	100293534
-597557333	100293534
104	100293534
-649500062	100293534
-849064035	100293534
-1480966094	100293534
-1662108713	100293534
-829383138	100302090
-79817030	100302111
-1481052696	100302111
-1004071413	100302112
-1713709679	100302112
-28662395	100302113
-686099942	100302113
-39178409	100302114
-1360898987	100302114
-649306021	100302115
-863858046	100302115
-990349237	100302115
-1994117772	100302116
-1912766873	100302117
-896017136	100302118
-2113324165	100302118
-2066665112	100302119
-597676355	100313774
-1709565694	100313774
-1877949842	100302121
-983130827	100302122
-1831281464	100302122
-235410377	100302123
-797232430	100302123
-937348458	100302124
-1244553667	100302124
-1305520859	100302124
-437422307	100302125
-1940476033	100302125
-827219891	100302126
-1819464506	100302126
-1516046302	100302127
-208706798	100302128
-1916041046	100302128
-313135917	100302129
-602641112	100302129
-873550722	100302129
-1916041046	100302130
-372050093	100302131
-796496625	100302131
-481672711	100302132
-70207483	100302132
-1328728978	100302133
-1548386135	100302133
-2126216122	100302133
-203537253	100302134
-437422307	100302134
-1026025907	100302135
-1414015208	100302136
-1498421994	100302136
-404646421	100302137
-979749230	100302137
-1394339978	100302137
-1858174930	100302138
-1950203003	100302138
-2082395743	100302138
-1011208	100302139
-1136617157	100302139
-2093237177	100302139
-1916041046	100302140
-827627685	100302141
-1886213789	100302141
-1013953115	100302142
-1139504433	100302142
-1194694334	100302143
-1276939612	100302143
-1273490364	100302144
-1897097877	100302144
-1937421265	100302145
-1916041046	100302146
-1916041046	100302147
-1472907250	100302148
-792805170	100302149
-762282633	100302149
-1068134732	100302149
-1164868630	100302150
-1332235764	100302150
-1661676424	100302150
-209946913	100313772
-797544021	100302152
-190406224	100302153
-1333895322	100302153
-1439850776	100302153
-248028232	100313771
-1912701646	100313771
-1502575967	100302155
-1418438394	100302156
-1428189392	100302156
-1600919055	100302156
-514943473	100302157
-933672147	100302157
-1879501341	100302157
-278321224	100302158
-469721260	100302158
-248028232	100302159
-984870957	100302160
-1158017112	100302160
-1872043113	100302160
-623706713	100302161
-1562516174	100302161
-1799750582	100302163
-940394237	100302164
-1699258037	100302164
-1354030098	100302165
-750327220	100302166
-1188391916	100302166
-2132004483	100302167
-773111418	100302168
-995189544	100302168
-1020668031	100302169
-1573750513	100302170
-2144059308	100302170
-809244342	100302171
-438854415	100302172
-2038038287	100302172
-1286916562	100302174
-1669011470	100302174
-1715869705	100302174
-104488327	100302175
-750202606	100302175
-1996700112	100302175
-125092459	100302177
-950558853	100302178
-898903542	100302179
-1715114950	100302179
-1912766873	100313769
-41306843	100302181
-1288771749	100302182
-342805200	100302183
-1775358092	100302183
-1971298673	100302184
-461470720	100302185
-2096207949	100302185
-1447629842	100302186
-469644571	100302187
-1036707645	100302188
-1791654849	100302190
-1447629842	100302191
-248028232	100302192
-223839099	100302193
-917615844	100302193
-1026025907	100302195
-1818227284	100302196
-1825110880	100302196
-1089868006	100302197
-1167993135	100302197
-1566189833	100302197
-486996013	100302201
-488819143	100302201
-1700798371	100302201
-505733750	100302202
-619012947	100302203
-1072315375	100302203
-1718836556	100302203
-1447629842	100302204
-811475153	100302205
-1107776743	100302208
-1367739764	100302208
-518375565	100302209
-847491593	100302209
-933672147	100302209
-950925766	100302210
-1505833831	100302210
-2036138012	100302210
-281894353	100302211
-1553810355	100302211
-1004128316	100302212
-1725972285	100302212
-680790675	100302213
-835630902	100302213
-597762803	100302214
-1554027315	100302214
-867936739	100313806
-1362373246	100313806
-440681126	100302217
-2103321561	100302217
-730777754	100302218
-1532704330	100302218
-2117588461	100302218
-1136495004	100302219
-1955237556	100302219
-653343762	100302220
-1295202158	100302220
-1405748132	100302221
-1329136682	100302221
-1331547972	100302222
-1693707326	100302222
-1724175740	100302222
-1916041046	100302223
-146599671	100302224
-1256984731	100302224
-245609310	100302225
-481730630	100302226
-1620468808	100302226
-2004185240	100302226
-1916041046	100302227
-578398350	100302228
-190558460	100302229
-1205375284	100302229
-1660998668	100302229
-1020668031	100313896
-575383563	100313921
-1008678146	100313921
-1952853544	100313921
-443582329	100302232
-1223316828	100302232
-1483923418	100302232
-1541946260	100302233
-1936566582	100302233
-344297040	100302234
-828634923	100302234
-1460625769	100302234
-955057836	100302235
-1093315508	100302235
-2020087331	100302236
-524030776	100302237
-1090232800	100302237
-9465130	100302238
-248028232	100302239
-743758619	100302239
-775353766	100302240
-1824818407	100302240
-2111890559	100302240
-67979426	100313773
-709023050	100302242
-1309757804	100302242
-1845795375	100302242
-821728587	100302243
-67979426	100313884
-715179203	100313884
-1088508317	100313884
-517213110	100313835
-444792338	100313835
-867936739	100313835
-278606378	100302246
-141568052	100302246
-663044602	100302246
-1747573983	100313829
-67979426	100313830
-816024644	100302250
-1884983893	100302250
-1319906750	100302251
-388505854	100313938
-1253978040	100313938
-526011715	100313822
-455178340	100313822
-1826196680	100313822
-1301076613	100302254
-1399619366	100302255
-129857441	100302256
-1013413619	100302256
-1089118881	100302256
-1917614569	100302257
-1473516486	100302258
-1807955974	100302258
-807645241	100302259
-1201318542	100302259
-283667453	100302260
-117590297	100302261
-825604887	100302261
-1234860425	100302261
-134748537	100313914
-386019679	100313914
-1313865460	100313914
-71439227	100302263
-650910280	100302263
-1751330236	100302263
-811475153	100302265
-1001824889	100302267
-5241589	100302268
-2117588461	100302268
-51227445	100313824
-1052076433	100313824
-1404624376	100302270
-248028232	100313895
-383851544	100313770
-26002998	100302273
-1434228592	100302273
-409738457	100302274
-33563795	100302274
-1895970338	100302274
-1722734611	100302275
-150702231	100302276
-1612351067	100302276
-1447629842	100302277
-1738883822	100302278
-1916041046	100302278
-286712591	100302279
-1850833617	100302279
-1000525440	100302280
-2094967444	100302280
-2104558731	100302280
-45637069	100302281
-656329088	100302281
-9465130	100302282
-369708895	100302283
-1399740030	100302283
-1545890986	100302283
-1398262236	100302284
-1613164040	100302284
-1202446798	100302285
-1771161971	100302285
-1303446270	100302286
-67979426	100302287
-261739630	100302288
-1719842153	100302288
-297815734	100302289
-1108823366	100302289
-2083542807	100302289
-1619486215	100302290
-929952204	730755
-270829157	100289511
-1757813768	100302740
-574523599	102659353
-1917380124	102723489
1056	102723532
-903537385	102723532
-1188678827	102723547
-1287526999	6294
38	10393
-1436005052	10393
-1851601120	10393
-1932783693	10393
-165299293	7267
-1620708719	54535
4259	2908
-107369571	2908
-176633396	2908
-1058804321	9342
6219	1936
4302	2101
-1267595047	113835
1056	26689
-721090409	26689
-592691520	51533
2407	1454
-1592113337	1454
-986977289	140834
994	8334
-1195462374	8334
-1624523838	8334
-1476483841	7733
6374	6558
-1280284834	85364
-1411822228	252969
-588939014	117156
4070	122042
-1980729064	122042
-1859973767	5978
6036	3232
6140	7350
-2012187747	55857
-581180063	6406
-1381021566	10806
-1745898167	2819
-589991259	1819
-1069285798	6433
-778193572	50831
-2109151758	50831
-243055706	9270
-1767857322	219771
-1270754743	9915
-1611585477	9915
-238340968	64062
-1931979953	9941
-580864885	10807
-1403512442	4693
-1180204065	4115
-1040305554	9016
-184765961	821
-2119519604	8106
-805010427	420
-1163604801	84557
-1796341845	2853
6222	1429
-933487521	3810
-1289209503	29887
3020	1786
-19256717	8689
-233069248	157680
-1353296652	79661
-439528061	7757
-1935848565	410
-1153538436	2815
-1334359856	54543
-1869566777	54543
-33613880	8942
-134288703	3742
290	2557
-30069301	2557
-1121041694	2557
-1153014531	2557
2943	7874
407	3567
-238497423	9413
-469521467	81698
-852256126	11153
-1400224943	6580
-551059543	10802
-255834293	10802
-1870389510	10802
-2143503354	91734
-1692917573	6701
10019	7364
-1942529265	7364
-1347893161	5753
8033	43
6366	7099
1157	6331
-483441075	757
-2009498977	5071
-386600067	6019
52	472
-1223487826	51088
-1234157537	11200
8241	5697
-527569161	5310
-1892560078	6844
-704642029	3801
-243837070	1536
2109	1536
-1829577397	1536
-1852866481	58480
-19814584	27097
-664185236	27097
-2129391162	27097
1056	390064
-1907295467	390064
6319	2488
-1436437630	2488
-18149776	26262
-1440622227	2703
-1565685043	30845
-530726429	8526
2869	8526
-463491926	8851
-2095861898	8851
-800091077	6152
-993896697	6152
-1061692111	146845
