entrez_id	gene_name
8672	EIF4G3
8573	CASK
26499	PLEK2
100188947	HECTD2-AS1
501	ALDH7A1
57231	SNX14
654841	LOC654841
6567	SLC16A2
3755	KCNG1
103695433	LINC01322
133558	MROH2B
8633	UNC5C
1795	DOCK3
155184	SLC2A7
92249	LINC01278
101730217	SPECC1L-ADORA2A
339166	LOC339166
90161	HS6ST2
23053	ZSWIM8
2736	GLI2
57570	TRMT5
222256	CDHR3
2567	GABRG3
9487	PIGL
100302128	MIR1302-3
9278	ZBTB22
100128675	HPN-AS1
286827	TRIM59
441355	MIR2052HG
1770	DNAH9
102724804	LOC102724804
22989	MYH15
5990	RFX2
7039	TGFA
645402	USP17L4
51750	RTEL1
104355135	LINC00431
6542	SLC7A2
284581	LOC284581
79645	EFCAB1
7016	TESK1
58155	PTBP2
100302640	LINC00882
51052	PRLH
57446	NDRG3
5450	POU2AF1
442247	RFPL4B
92105	INTS4
101448202	LOC101448202
23376	UFL1
100130872	LOC100130872
8496	PPFIBP1
387590	TPTEP1
79672	FN3KRP
83723	FAM57B
693172	MIR587
84132	USP42
1032	CDKN2D
6729	SRP54
375323	LHFPL4
100505920	LOC100505920
55237	VRTN
161725	OTUD7A
284254	DYNAP
148932	MOB3C
101930071	LOC101930071
1183	CLCN4
406927	MIR136
80213	TM2D3
4166	CHST6
159162	RBMY2FP
25803	SPDEF
283927	NUDT7
728658	RPL13AP5
124220	ZG16B
204	AK2
54784	ALKBH4
2525	FUT3
55364	IMPACT
7349	UCN
100506681	JARID2-AS1
25788	RAD54B
90853	SPOCD1
285989	ZNF789
100506658	OCLN
333932	HIST2H3A
117	ADCYAP1R1
253962	CACNA1G-AS1
23439	ATP1B4
2999	GZMH
81466	OR2L5
55853	IDI2-AS1
255626	HIST1H2BA
4327	MMP19
392391	OR5C1
246329	STAC3
387509	GPR153
1807	DPYS
5331	PLCB3
56849	TCEAL7
102465537	MIR6891
50832	TAS2R4
692111	SNORD71
57010	CABP4
167826	OLIG3
407050	MIR93
114770	PGLYRP2
991	CDC20
391003	PRAMEF18
101929073	LOC101929073
79365	BHLHE41
693216	MIR631
677768	SCARNA13
57696	DDX55
102465864	MIR8060
23385	NCSTN
23404	EXOSC2
79891	ZNF671
56158	TEX12
727837	SSX2B
51016	EMC9
7841	MOGS
100422883	MIR4325
677820	SNORA38
51184	GPN3
90480	GADD45GIP1
29078	NDUFAF4
222029	DKFZp434L192
100129269	LINC01160
113177	IZUMO4
5991	RFX3
137970	UNC5D
7638	ZNF221
79894	ZNF672
221692	PHACTR1
9732	DOCK4
100861550	PDX1-AS1
53904	MYO3A
54890	ALKBH5
124739	USP43
65009	NDRG4
5332	PLCB4
57653	LOC100499484-C9ORF174
26251	KCNG2
57148	RALGAPB
10420	TESK2
266722	HS6ST3
7347	UCHL3
102465538	MIR6892
11144	DMC1
148198	ZNF98
222662	LHFPL5
728386	USP17L5
26301	GBGT1
645954	SVILP1
9703	KIAA0100
101929196	THSD4-AS1
54778	RNF111
653121	ZBTB8A
23498	HAAO
29988	SLC2A8
84288	EFCAB2
9991	PTBP3
100861519	GDNF-AS1
100508120	GMDS-AS1
101927547	ANKRD44-IT1
187	APLNR
2737	GLI3
9123	SLC16A3
3670	ISL1
93183	PIGM
316	AOX1
139105	BEND2
100505921	LOC100505921
406928	MIR137
9569	GTF2IRD1
51372	TMA7
79133	NDUFAF5
50808	AK3
9724	UTP14C
132720	C4orf32
101410542	UCHL1-AS1
219731	PROSER2-AS1
114771	PGLYRP3
112869	SGF29
100131094	DPP9-AS1
26284	ERAL1
84162	KIAA1109
8495	PPFIBP2
79861	TUBAL3
56344	CABP5
56957	OTUD7B
100616317	MIR4777
254552	NUDT8
100422945	MIR4326
220869	CBWD5
693173	MIR588
84889	SLC7A3
7730	ZNF177
57493	HEG1
79963	ABCA11P
4236	MFAP1
341056	LOC341056
240	ALOX5
26228	STAP1
2595	GANC
27065	NSG1
29907	SNX15
1184	CLCN5
3454	IFNAR1
100302130	MIR1302-4
644511	RPL13AP6
100132618	ZRANB2-AS1
56548	CHST7
80789	INTS5
58526	MID1IP1
65110	UPF3A
7051	TGM1
101927292	LOC101927292
645414	PRAMEF19
101927616	LOC101927616
54082	TSPEAR-AS1
6945	MLX
101928796	LOC101928796
3018	HIST1H2BB
4345	CD200
115708	TRMT61A
79897	RPP21
1551	CYP3A7
51010	EXOSC3
389118	CDHR4
1798	DPAGT1
2526	FUT4
54429	TAS2R5
84176	MYH16
140678	MLLT10P1
100302259	MIR1202
9168	TMSB10
90843	TCEAL8
51605	TRMT6
619564	SNORD72
378832	COL18A1-AS1
102466251	MIR8061
79933	SYNPO2L
1834	DSPP
692149	SCARNA14
100127888	SLCO4A1-AS1
54606	DDX56
100506621	LINC01279
693217	MIR632
441502	RPS26P11
23199	GSE1
2121	EVC
100534595	HNRNPUL2-BSCL2
148979	GLIS1
255631	COL24A1
64377	CHST8
26791	SNORD58A
378805	LINC-PINT
650794	MIPEPP3
10153	CEBPZ
64843	ISL2
100131814	LINC00271
644019	CBWD6
9749	PHACTR2
9857	CEP350
100616464	MIR4778
100533496	TVP23C-CDRT4
5992	RFX4
100852410	ZRANB2-AS2
170850	KCNG3
392636	AGMO
7290	HIRA
104355138	LINC01162
9768	KIAA0101
26512	INTS6
84163	GTF2IRD2
202374	STK32A
1185	CLCN6
6545	SLC7A4
9841	ZBTB24
2207	FCER1G
130752	MDH1B
1610	DAO
140469	MYO3B
56606	SLC2A9
9695	EDEM1
80005	DOCK5
2889	RAPGEF1
146779	EFCAB3
22985	ACIN1
23556	PIGN
162333	MARCH10
51056	LAP3
4814	NINJ1
205	AK4
10457	GPNMB
151556	GPR155
100422891	MIR4327
137682	NDUFAF6
100874168	LINC00433
2323	FLT3LG
101928797	LOC101928797
3455	IFNAR2
64089	SNX16
10422	UBAC1
104355289	LINC01324
51116	MRPS2
65109	UPF3B
10906	TRAFD1
54512	EXOSC4
494115	RBMXL1
28987	NOB1
56262	LRRC8A
56155	TEX14
51531	TRMO
693218	MIR633
101928841	LOC101928841
55848	PLGRKT
53343	NUDT9
57673	BEND3
100526833	SEPT5-GP1BB
84101	USP44
55620	STAP2
85465	EPT1
9122	SLC16A4
126961	HIST2H3C
90485	ZNF835
79591	C10orf76
25797	QPCT
100422913	MIR320E
5310	PKD1
101927950	LOC101927950
9524	TECR
2997	GYS1
162387	MFSD6L
53841	CDHR5
101929570	LOC101929570
1978	EIF4EBP1
84735	CNDP1
401106	LINC00884
10233	LRRC23
101929173	THSD4-AS2
7673	ZNF222
246312	C21orf91-OT1
100616350	MIR4660
693174	MIR589
677778	SCARNA15
7052	TGM2
7652	ZNF99
8347	HIST1H2BC
55006	TRMT61B
7732	RNF112
57115	PGLYRP4
27351	DESI1
1047	CLGN
51616	TAF9B
728116	ZBTB8B
114043	TSPEAR-AS2
27238	GPKOW
101929237	LOC101929237
102465865	MIR8062
4237	MFAP2
100874043	TPRG1-AS1
102466271	MIR6893
132321	C4orf33
94026	POM121L2
50486	G0S2
100506492	DSCAM-AS1
284358	MAMSTR
407052	MIR95
2738	GLI4
84964	ALKBH6
139201	MAP2K4P1
100874236	COL18A1-AS2
100505601	PARD3-AS1
100505878	LOC100505878
56925	LXN
2527	FUT5
256355	RPS2P32
100302146	MIR1302-5
55135	WRAP53
100847014	MIR5100
100302211	MIR1203
51329	ARL6IP4
23180	RFTN1
100874169	LINC00434
4815	NINJ2
57582	KCNT1
116154	PHACTR3
337867	UBAC2
26289	AK5
9215	LARGE
57572	DOCK6
100616159	MIR4779
26790	SNORD58B
55351	STK32B
105376360	LOC105376360
388719	LINC00272
401109	LINC00885
7053	TGM3
54938	SARS2
100862692	DIP2A-IT1
8697	CDC23
55741	EDEM2
100874100	STEAP2-AS1
