imid|mapname|object_id
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|-891482124
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|4039
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|886
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|4042
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|934
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|-1698772377
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|914
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|4050
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|2098
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|2103
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|765
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|34
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|84
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|4047
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|-94985659
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|-2034743228
373|Apoptosis and survival_Caspase cascade|4487
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|85
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|88
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|268
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|85
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|87
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|4088
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|86
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|84
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|2097
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|60
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|-1291709962
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|-478261683
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|381
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|-429333329
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|71
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|915
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|9109
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|85
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|-1321938583
5|Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins|4048
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|4504
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|2281
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|13
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|53
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|26
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-198907391
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-1094246550
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-230362601
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-740837222
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-1567883634
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-116995260
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-541034072
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-733780320
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-865548057
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-1298152946
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|4464
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-1618492104
138|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in keratinocytes|-1618492104
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|53
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-1214956589
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-541034072
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|26
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|2281
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|4504
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|13
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-1094246550
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-230362601
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-116995260
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-740837222
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-1567883634
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-1618492104
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-733780320
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-198907391
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|4464
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-1618492104
139|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 1 activity in lipogenic tissue|-865548057
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|2488
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-2056070137
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-828038438
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|13
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-740837222
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|3038
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-230362601
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-116995260
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-1567883634
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-1378823200
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|4464
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|4271
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|2245
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|2498
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-1618492104
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|608
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-198907391
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-1094246550
140|Regulation of lipid metabolism_Regulation of acetyl-CoA carboxylase 2 activity in muscle|-541034072
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|4336
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-279846552
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|4323
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-1214956589
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-73323281
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|2498
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-1094246550
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-1886093300
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-839190244
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|4242
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-787373529
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-150724652
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|4427
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|2244
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-170239637
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|4316
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-1401104966
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-1308684255
143|Regulation of lipid metabolism_Regulation of fatty acid synthase activity in hepatocytes|-1816420541
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-1740693799
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-1539608840
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-310746233
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|2542
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|2201
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|2486
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|4346
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-1965784244
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-1211905783
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|2517
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-848077820
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|759
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-1641280260
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|4375
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|112
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|2164
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-2129391162
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|4346
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|2587
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-1733257744
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|4316
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|2566
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-2106293982
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|2539
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|510
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|4316
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-870992841
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-1852201926
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-365203860
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|4375
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-1584981221
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-917460451
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|-2067163567
